Article_Id,Content
58192bd595d0e022439c6808,Investigators looking into corruption within the Montreal police force for almost six months focused their attention on a reporter who had no apparent connection to the case.
58192bd195d0e022439c6807,"Lawyers for Bridget Anne Kelly and Bill Baroni, former associates of Gov. Chris Christie of New Jersey, accused the judge of encouraging a guilty verdict."
58192a9895d0e022439c6805,"The estate mostly prevailed in a legal dispute with the Rosenbach Museum and Library, which contended that Mr. Sendak had pledged many rare books to it in his will."
581929b295d0e022439c6802,"The bank will reimburse more than 250,000 customers after claims they were overcharged for home appraisals ordered after they defaulted on their mortgage loans."
5819261e95d0e022439c67fc,"An investigation found that a peacekeeping mission failed to act in July as government soldiers carried out an attack on civilians, including aid workers."
5819258295d0e022439c67fa,Some studies suggest giving antibiotics to infants may raise the risk of childhood obesity. But the infections themselves may be to blame.
5819243c95d0e022439c67f9,"The former “S.N.L.” star Jason Sudeikis plays the stage version of John Keating, the teacher made famous by Robin Williams."
5819232095d0e022439c67f8,“Terms of Endearment” and “Clue” are among several films being adapted for the theater.
5819231195d0e022439c67f7,"The first three teams were, as widely expected, Alabama, Clemson and Michigan. But the Aggies slid ahead of undefeated Washington in the selection committee’s first rankings."
5819210495d0e022439c67f6,"An offensive outburst by the heart of Chicago’s order gave Jake Arrieta plenty of room to beat the Indians, who struggled defensively and at the plate."
58191e6b95d0e022439c67ed,China sought to make an example of GlaxoSmithKline in a case that involved bribery of doctors and investigators and ended with guilty pleas and record penalties.
58191df095d0e022439c67ec,A whistle-blower working for GlaxoSmithKline began sending anonymous tips about fraud and corruption at its operation in China. Here’s what happened next.
58191dd495d0e022439c67ea,"The route would have a dedicated lane in traffic where possible, an effort that could prompt anger among drivers over the loss of street space and parking."
581918ed95d0e022439c67e5,"When Mr. Trump wants his buildings to seem bigger than they actually are, he enlarges them the same way he has thwarted long odds and defied reality throughout the election season: with sheer bluster."
581918e495d0e022439c67e4,"The term bridges religions and borders, bringing together women in unexpected ways."
581917bb95d0e022439c67e3,The founder of the military armor maker DHB Industries was serving 17 years for insider trading and fraudulently enriching himself.
581917b695d0e022439c67e1,"From Vogue Arabia to New York Fashion Week, Muslim consumers and designers are demanding global recognition and respect of their cultural and commercial clout."
5819168795d0e022439c67dc,President Obama danced to “Thriller” and sang “Purple Rain” to trick-or-treaters at the White House Halloween celebration.
5819155795d0e022439c67d9,The disagreement between the internet service and Germany’s main music rights organization had restricted access to music videos on YouTube since 2009.
5819121e95d0e022439c67d2,Turner Classic Movies and the Criterion Collection hope FilmStruck appeals to viewers who want to supplement other streaming services or cable.
5819120095d0e022439c67d1,"Claims that Airbnb hosts discriminated against customers must be settled in private arbitration because of the service’s user agreement, the judge ruled."
581911f895d0e022439c67d0,The ruling by Judge Christopher R. Cooper of the United States District Court for the District of Columbia in a case against Airbnb by Gregory Selden.
5819114595d0e022439c67cd,Here’s what you need to know at the end of the day.
58190e7695d0e022439c67ca,"This MJ Kaufman play centers on a transgender character who finds solace in an enormous tree as he deals with issues of identity, intimacy and family."
58190d6695d0e022439c67c6,"Kemang Wa Lehulere’s work can seem very abstract, but a closer look reveals allusive, layered references to his own personal history and that of his country."
58190ae395d0e022439c67c2,Here’s what you need to know to start your day.
581908cf95d0e022439c67ba,
581906bb95d0e022439c67b8,There’s not always one form that reveals every trend in the most contextually accurate and accessible way.
581906b695d0e022439c67b6,"A new law in Ukraine required lawmakers and officials to declare their assets, and the results did not inspire confidence in the country’s economic and banking institutions."
5819062295d0e022439c67b5,"In this Brazilian film from Anna Muylaert, an androgynous teenager discovers that the woman who raised him isn’t his biological mother."
581905a095d0e022439c67b2,"Kenneth MacMillan’s ballet, performed by the Royal Ballet with Natalia Osipova, revolves around a woman who claimed to be the surviving daughter of Czar Nicholas II."
5819043c95d0e022439c67ae,A teenager from a nomadic family bucks gender norms by raising a bird and training it to hunt in this documentary.
581903c295d0e022439c67ab,"Bette Midler hosts the Hulaween Bash, MoMA P.S.1 hosts “White House of Terror,” and the Harlem School of the Arts holds a masquerade ball."
5819026095d0e022439c67a7,"Mel Gibson’s new film tells the true story of Desmond Doss, a conscientious objector who refused to bear arms but still won the Medal of Honor in World War II."
5819025695d0e022439c67a6,"This evening, check out the season finale of “Atlanta” and a “30 for 30” documentary."
5819019e95d0e022439c67a3,"The performance artist, who had a popular 2010 retrospective at the Museum of Modern Art, implicitly bids readers to warm their hands on the blaze of her greatness."
5819010c95d0e022439c67a2,American Muslims will have a say in this election.
5819010695d0e022439c67a1,"The lawsuit, filed in New York State by Teneo, claims defamation and breach of contract over comments Mr. Rollins made on a Fox Business program."
581900f695d0e022439c67a0,"Bette Midler hosts the Hulaween Bash, MoMA P.S.1 hosts “White House of Terror,” and the Harlem School of the Arts holds a masquerade ball."
5818ff0795d0e022439c679e,There’s more to what you believe than you think.
5818ff0395d0e022439c679d,There's more to what you believe than you think.
5818fbab95d0e022439c6790,"Every month, Netflix adds a new batch of movies and TV shows to its library. Some of those movies and TV shows are bad. Some are good. Here is a list of the good."
5818fa6995d0e022439c678a,How I went to Chicago for the weekend and became a Cubs fanatic.
5818f79195d0e022439c6787,"Michael O. Johnson, chief executive as the company endured struggles with a hedge fund manager and a federal inquiry, will become executive chairman."
5818f72995d0e022439c6783,A film-industry player plans to pare down his trove of Hollywood memorabilia.
5818f71895d0e022439c6782,A sampling of memorabilia from Brett Ratner’s auction.
5818f70495d0e022439c6781,A small farmer’s experiment pressing green peanut oil has inspired big-name chefs.
5818f6fc95d0e022439c6780,"The London Symphony Orchestra performed two concerts over the weekend, including one with the star pianist Yuja Wang."
5818f23195d0e022439c6774,"William Johnson says he believes Mr. McMullin, who is running close to Donald J. Trump in Utah, is “a closet homosexual.” Mr. McMullin called the attack “baseless lies.”"
5818f19395d0e022439c6772,"Baron Vaughn and Open Mike Eagle, hosts of a show at the New York Comedy Festival, want to challenge ideas about black entertainment."
5818f14895d0e022439c6771,"Familia, the Mets’ top reliever, was arrested in Fort Lee, N.J., earlier this week."
5818f0f395d0e022439c6770,Readers discuss the latest developments in the campaign.
5818f0d295d0e022439c676e,"The theater critic Charles Isherwood offers a look at adventurous new musicals, a revival he calls nearly “perfect,” Sutton Foster, and Shakespeare."
5818f02595d0e022439c676c,"The newspaper industry is facing a relentless downturn, and success will require even more radical ideas."
5818edf695d0e022439c6767,"Vegetarian plates in Brooklyn, Augustine in Lower Manhattan opens, and other restaurant news."
5818ea9195d0e022439c675d,Tania León said that going back to conduct her music in her native land is “spectacular” — and moving.
5818e82795d0e022439c6757,"In Cleveland, they recently unveiled a street sign for Charles Oakley. In New York, he has been estranged from the Knicks organization for years."
5818e7d495d0e022439c6756,The candidates head to battleground states; recent polls have better news for Donald J. Trump; the House speaker votes early; and a hip-hop star will stump for Hillary Clinton.
5818e6ba95d0e022439c6752,"Ms. Whelan will perform with the choreographer Brian Brooks in “Some of a Thousand Words,” a suite of duets that opens on Feb. 28."
5818e47295d0e022439c674c,"In an exchange aboard his plane, the pontiff cited an apostolic letter by Pope John Paul II as a foundation for continuing the prohibition."
5818e2fb95d0e022439c6749,The actress dishes on her signature eyebrows and her beauty obsessions.
5818e09595d0e022439c6743,Hulu has signed deals that will make networks from 21st Century Fox’s and Disney part of its forthcoming live streaming service.
5818de4395d0e022439c673c,"Mr. Khan canceled his plan to shut down the capital, Islamabad, with demonstrations after a court said it would form a commission to investigate corruption."
5818de2b95d0e022439c673b,Children ages 10 to 14 have been facing some unusual challenges while covering the primary campaigns and general election for the book publisher Scholastic.
5818dc6d95d0e022439c6737,Farmworker Justice writes that “such workers should be given the opportunity to become immigrants with a path to citizenship.”
5818db9695d0e022439c6735,A law professor writes that a court case “is perhaps most notable for its profoundly deleterious effects on the education of all poor children.”
5818db8595d0e022439c6734,A reader says the mayor’s campaign to highlight safety in the dark months could well include some money to improve lighting in the park.
5818dade95d0e022439c6733,Iraqi special forces made their way into Mosul’s city limits on Tuesday as part of a coalition bid to retake the city from Islamic State militants who have been accused of continued atrocities against civilians.
5818dac595d0e022439c6732,"Scientists ran numerous voyage simulations to understand what delayed the earliest human settlers of islands like Hawaii, Tahiti and New Zealand."
5818d9ff95d0e022439c672f,"Some students can tweet and take a test, some can’t. Know thyself."
5818d9c095d0e022439c672d,"Despite skepticism from the scientific community, new beauty products are making much of this ashy residue."
5818d7aa95d0e022439c6724,Eleven people are to be brought before the courts after a man was killed in a compactor while trying to recover swordfish that the police had confiscated.
5818d67d95d0e022439c671f,"Noor Salman, whose husband, Omar Mateen, killed 49 people at the Pulse nightclub, described him as abusive and said she had known nothing about his plans."
5818d5d995d0e022439c671c,"This orange-cranberry cake can be made ahead, it travels well, and it is perfect to bring out though all the holidays this season."
5818d46795d0e022439c6714,"From “Brexit” to the rise of Donald Trump, white anxiety is fueling political unrest in the West."
5818d39095d0e022439c6713,The commissioner says the Police Department is transforming the patrol model to one that connects better with communities and is better at fighting crime.
5818cf7795d0e022439c6708,"This fall brings herbalists, nutrition experts and proponents of strange vegetables into the kitchen."
5818cf5b95d0e022439c6707,Mrs. Clinton’s remarks in Florida signaled the campaign’s direction in the homestretch: a barrage intended to disqualify Mr. Trump with brutal efficiency.
5818cf5495d0e022439c6706,Recent commercial real estate transactions in New York City.
5818ce3095d0e022439c6702,"Cheap money and investor confidence are driving a surge in mergers, leaving industries dominated by a few big players."
5818cd8695d0e022439c6700,"The chef, who has famously relied only on friends and family, has turned to venture capital for his delivery-only project, Ando."
5818ca7995d0e022439c66fe,
5818ca3d95d0e022439c66fc,"With architectural shapes and a variety of textures, the wardrobe classic gets an update for fall."
5818c9ea95d0e022439c66fa,"The Communist Party gave the president the exalted title of “core leader” last week, a victory clouded by warnings in official documents about risks the country and party face."
5818c99395d0e022439c66f8,"From its sauces to its simple elegance, Daniel Rose’s restaurant in SoHo draws on New York’s attraction to history and Europe."
5818c99095d0e022439c66f7,A tribute to old-guard French dining at the chef Daniel Rose’s first New York restaurant.
5818c88795d0e022439c66f6,"Believing in a hope that spans borders — cultural, historical and political."
5818c3e495d0e022439c66e7,"Grandmothers — abuelas, in Spanish — are at the front lines of the Democratic Party’s effort to get Hispanic voters to the polls in Arizona, Nevada and Colorado."
5818c3c995d0e022439c66e6,New book suggests another reason why van Gogh may have cut off his ear
5818c31295d0e022439c66e2,"From the Watching team, expert TV and movie recommendations for the longer, colder nights ahead."
5818c12995d0e022439c66dc,"“I said to myself, ‘Fill the car up while you can,’” one New Yorker said before the tax rose 23 cents per gallon."
5818c0ca95d0e022439c66da,"On Saturday afternoons, well-heeled art collectors and smartly-dressed culture seekers take their post-brunch stroll through the galleries of Chelsea. Here's what they wore."
5818be4095d0e022439c66cf,The star of “Holiday Inn: The New Irving Berlin Musical” tries out the season’s best coats.
5818be1995d0e022439c66ce,"A two-part “Nature” program traces the migration of cats from Asia and into your home, a journey full of adaptation."
5818bdde95d0e022439c66cd,"Rochester is filling in part of a mid-20th-century sunken highway to create an avenue for residential, office and retail development."
5818bdcc95d0e022439c66cc,Bryce Pinkham bundles up in the season’s best coats.
5818bca795d0e022439c66c5,"If your phone’s photo album is getting too full, you can send your pictures to a safe place — with or without a computer."
5818bab295d0e022439c66ba,Still puzzled by the intricacies of the United States election and the often bizarre campaign? Submit your questions for our correspondent.
5818b9c895d0e022439c66b8,"Allen won N.B.A. titles in Boston and Miami, and made one of the most memorable 3-pointers in N.B.A. finals history."
5818b97295d0e022439c66b5,"Prosecutors have called several people who said they had heard Pedro Hernandez, the man accused of the 1979 murder, admit to killing a child in New York City."
5818b8d295d0e022439c66b3,"How do you navigate a path to higher education? Anemona Hartocollis, a national education correspondent and the opinion columnist David Leonhardt, joined guidance counselors and students from Topeka High in Kansas for a chat about the challenges."
5818b8ce95d0e022439c66b2,"CenturyLink’s purchase of Level 3 is the latest sign of action in the high-potential, high-cost and high-stakes business of networking."
5818b77e95d0e022439c66b0,A trove of letters and other material held for 200 years by descendants of Alexander Hamilton will be auctioned by Sotheby’s in January.
5818b3e495d0e022439c66a8,"The gala, which raised $3.6 million, was hosted by Eva Chow and Leonardo DiCaprio, and honored Robert Irwin and Kathryn Bigelow."
5818b24795d0e022439c66a3,"The gala, which raised $3.6 million, was hosted by Eva Chow and Leonardo DiCaprio, and honored Robert Irwin and Kathryn Bigelow."
5818b15495d0e022439c66a1,Ben Pentreath lends his design eye to James Lowther’s Lacquer Company.
5818ae1b95d0e022439c6696,"The F.B.I. warning seal, updated for 2016."
5818ae0895d0e022439c6694,"The Times is following three teenagers in Topeka, Kan., on their quest to go to college. Today, Zac and Nate talk about how their plans to take the ACT test fell apart, and an expert gives them some advice on how they can recover.? We also catch up with TaTy, who dreams of becoming a doctor."
5818a7ac95d0e022439c667c,
5818a4d895d0e022439c6676,"The Russian punk protester talks about the election, Putin and her new music video."
5818a49b95d0e022439c6675,"While other wealthy nations struggle to define their purpose, Australia has unlocked the secret to its next wave of prosperity: immigration."
5818a43095d0e022439c6670,A humbling hike through ravaged landscapes brought a Times correspondent to the scene of death and illness.
5818a22795d0e022439c666d,"Meeting reporters, Mr. Assad radiated confidence that he was firmly in control of his country, declaring that he planned to remain president until his term ends in 2021."
5818a12d95d0e022439c6663,"Record, point differential, passer rating, computer rankings ... all signs point to the Patriots."
58189fbe95d0e022439c6661,"As many markets become more concentrated, America’s competition policy can no longer be understood in the narrow terms of protecting consumers from higher prices."
58189f5395d0e022439c6660,"Manufacturing grew last month at the fastest pace since July, a sign that factories were coping with economic weakness overseas and a strong dollar."
58189e7595d0e022439c665d,"Some readers say it has to do with intelligence and knowledge gained, while others point to a whole host of factors that could be at play."
58189dd295d0e022439c665c,People are turning their backs on what used to be a pillar of the country’s economy and society: real estate.
5818970995d0e022439c6647,Chinese social media users have been in an uproar over a 2-year-old killed by an S.U.V. while her mother was distracted by a smartphone.
5818948195d0e022439c6642,"“We don’t expect our technology to match our outfits,” the entertainer-entrepreneur said. But with a band of fashion power players, he’s out to change that."
5818942c95d0e022439c6641,"Two drivers and four passengers were killed when a school bus and a transit bus collided Tuesday morning, the police said. No children were on the school bus."
5818937295d0e022439c663d,"With buses, trolleys and subways shut down, nearly a million rides a day were affected. Many commuters were forced to find alternative routes to work."
58188f5f95d0e022439c6631,"Investor expectations will now present tough questions for the former Tribune Publishing, owner of The Los Angeles Times and Chicago Tribune."
5818888a95d0e022439c6625,This word has appeared in 63 New York Times articles in the past year.
581887dd95d0e022439c6623,"In the latest episode of The Run-Up, we examine the most recent surprise development in a campaign that never ceases to shock."
5818870e95d0e022439c6620,"Tuesday: Voters weigh tougher gun control, a political campaign in Irvine gets nasty, and a biographer of Alexander von Humboldt takes questions."
5818863d95d0e022439c661f,"Adam Crapser, 41, was denied his last appeal to remain in the U.S. last week and is making plans for a life in South Korea."
581881da95d0e022439c6619,The Hollywood actress’s scenes in a Chinese state TV series on the Communists’ Long March were deleted after complaints from those who see her as anti-China.
58187dd895d0e022439c660d,"The advance is a breakthrough in efforts to reclaim the country’s second-largest city from the Islamic State, but a great deal of fighting lies ahead."
58187b7595d0e022439c6606,Have you been following the news? Take our quiz to see what you know and to learn more.
581875d195d0e022439c65f5,Insurance is a hard product to buy. Here’s The Upshot’s simplified guide to finding the plan that’s right for you.
581875b995d0e022439c65f4,Matter-of-fact language helps give the message that there are no parts of the anatomy that are shameful or not to be discussed.
5818704995d0e022439c65e9,The bank expects the Securities and Futures Commission in the territory to take action over its role as a sponsor of a 2009 initial public offering.
58186cec95d0e022439c65e2,"Beyoncé, Marc Jacobs and Katy Perry were among the celebrities who chronicled their evening on social media."
58186c4995d0e022439c65df,It is extremely hard to predict what markets will do in the event of Donald J. Trump winning the presidential election. It can even be hard to tell the election’s impact on the economy.
581867ca95d0e022439c65cd,Brooklyn is a bona fide cultural capital — but you don’t have to spend a lot to appreciate it.
581867bb95d0e022439c65c9,"It wasn’t so long ago that “high-end Brooklyn” meant neighborhoods like Brooklyn Heights, Park Slope and Williamsburg. Oh, how things have changed."
581867bd95d0e022439c65ca,"Going far beyond hummus and grilled meats, chefs in Israel are showcasing modern Arabic cooking (kubbe made with grouper, crème brûlée with tahini)."
581867af95d0e022439c65c8,"Tuesday: Comedians weigh in on our city, the New York Comedy Festival begins and local milk packaging ends."
5818669695d0e022439c65c5,Juan Echevarria killed a man. He spent 14 years in prison. Now he desperately wants a college degree. Getting one may be the hardest thing he’s ever had to do.
5818652e95d0e022439c65c1,Here’s what you need to know to start your day.
5818609f95d0e022439c65b6,We’ve launched a series of immersive 360-degree videos that let you experience Times journalism in a powerful new way.
58185a4c95d0e022439c65a8,"Set in the Florida panhandle, John Grisham’s “The Whistler” centers on an elaborate conspiracy."
58185a1195d0e022439c65a7,"The fanciest reception hall in Sana was bombed by a Saudi-led airstrike on Oct. 8, killing more than 100 people who were paying their respects to a prominent family after the death of its patriarch."
581859d995d0e022439c65a6,"Over 703 miles, a hardy band of pain enthusiasts tested the limits of both mind and body at the Quintuple Anvil Triathlon — five Ironman-length races in five days."
581859a995d0e022439c65a2,"Adrenaclick, a cheaper alternative, has benefited from furor over EpiPen pricing. But its maker is struggling to meet demand, and a generic EpiPen is near."
581859a795d0e022439c659f,"A week before Election Day, polarized voters are wary, often without justification, about their fellow citizens and the integrity of the electoral process."
581859a795d0e022439c65a0,"For months, Mekasi Horinek and Deputy Jon Moll have lived the pipeline protests in North Dakota. But they fall on opposite sides, reflecting a community as divided as oil and water."
581859a895d0e022439c65a1,"Saudi Arabia has injected more than $25 billion into the faltering Egyptian economy in two years, but ties between the two most influential Sunni nations are fraying."
5818599c95d0e022439c6598,"For all he gets wrong on race, the Republican nominee got one thing right: The Democratic Party does take black Americans for granted, and that’s a problem."
581859a295d0e022439c659e,"After June’s vote to quit the European Union, hundreds of Britons working in the bloc’s institutions face a new reality as British influence and their prospects recede."
5818599e95d0e022439c659a,"“City of Dreams,” Tyler Anbinder’s history of New York’s immigrant past and present, shows the city’s rich heritage."
581859a095d0e022439c659c,The candidate has brought views that used to be unthinkable to the main stage of American politics. Is the damage permanent?
5818599f95d0e022439c659b,"The protagonist of Derek Palacio’s debut novel, “The Mortifications,” is a Cuban-American named Ulises."
5818599d95d0e022439c6599,Alienation between haves and have-nots is made worse by the willful impenetrability of financial jargon.
581859a095d0e022439c659d,Do you hug? Shake hands? Kiss? Or just nod and say “what’s up?”
5818529395d0e022439c658c,Do you think emoji is modern art?
58184cb495d0e022439c6580,What traditions do you and your family or community have for mourning or celebrating loved ones who have died?
58184c0995d0e022439c657c,
5818478895d0e022439c6570,?? ??? ?? ? ?? ?? “?? ??? ?? ??? ??”? ????? ?? ??? ????? ?? ??? ???? ????.
5818464695d0e022439c656d,The decline in the pound since Britain’s vote to leave the European Union has had a big effect on sales.
5818426d95d0e022439c655f,Does anyone look good as the electoral campaigns of Donald Trump and Hillary Clinton hit the homestretch?
5818426c95d0e022439c655e,"When future generations ask what you did in the election of 2016, what will you say?"
5818426b95d0e022439c655d,The writings of the Jewish sage Martin Buber offer a distraction from election anxiety.
